해구번호,유의파고(m),파향(deg),최대파주기(sec),풍속(m/s),풍향(deg)
  644,     1.0,    147,     5.2,     5.2,    181
  645,     1.1,    161,     5.0,     6.6,    181
  646,     1.1,    167,     5.0,     6.2,    181
  647,     1.1,    172,     5.1,     5.9,    183
  648,     1.1,    179,     5.1,     5.4,    186
  649,     1.1,    188,     5.3,     5.0,    186
  650,     1.0,    199,     5.8,     4.7,    187
  651,     0.3,    120,     8.5,     3.4,    180
  652,     0.6,    122,     5.8,     3.8,    186
  653,     0.8,    127,     5.2,     4.0,    176
  654,     1.0,    145,     5.0,     4.6,    180
  655,     1.1,    161,     4.8,     7.0,    176
  656,     1.1,    164,     4.8,     6.1,    178
  657,     1.0,    166,     4.9,     5.5,    180
  658,     1.0,    173,     6.9,     5.1,    180
  659,     0.9,    182,     8.3,     5.0,    180
  660,     0.9,    193,     9.4,     4.7,    180
  661,     0.5,    125,     8.5,     3.4,    181
  662,     0.7,    116,     8.1,     4.0,    180
  663,     0.8,    119,     8.5,     3.5,    176
  664,     1.0,    137,     5.5,     3.7,    190
  665,     1.0,    152,     5.4,     6.5,    180
  666,     1.0,    150,     7.7,     6.3,    177
  667,     0.9,    152,     9.1,     5.6,    176
  668,     0.9,    158,     9.4,     5.3,    173
