대해구 번호,경도,위도
732,125.75,28.25
733,126.25,28.25
734,126.75,28.25
735,127.25,28.25
736,127.75,28.25
737,128.25,28.25
738,128.75,28.25
739,129.25,28.25
740,129.75,28.25
741,125.25,27.75
742,125.75,27.75
743,126.25,27.75
744,126.75,27.75
745,127.25,27.75
746,127.75,27.75
747,128.25,27.75
748,128.75,27.75
749,129.25,27.75
750,129.75,27.75
751,125.25,27.25
752,125.75,27.25
753,126.25,27.25
754,126.75,27.25
755,127.25,27.25
756,127.75,27.25
757,128.25,27.25
758,128.75,27.25
759,129.25,27.25
760,129.75,27.25
761,125.25,26.75
762,125.75,26.75
763,126.25,26.75
764,126.75,26.75
765,127.25,26.75
766,127.75,26.75
767,128.25,26.75
768,128.75,26.75
769,129.25,26.75
770,129.75,26.75
771,125.25,26.25
772,125.75,26.25
773,126.25,26.25
774,126.75,26.25
775,127.25,26.25
776,127.75,26.25
777,128.25,26.25
778,128.75,26.25
779,129.25,26.25
780,129.75,26.25
781,125.25,25.75
782,125.75,25.75
783,126.25,25.75
784,126.75,25.75
785,127.25,25.75
786,127.75,25.75
787,128.25,25.75
788,128.75,25.75
789,129.25,25.75
790,129.75,25.75
791,125.25,25.25
792,125.75,25.25
793,126.25,25.25
794,126.75,25.25
795,127.25,25.25
796,127.75,25.25
797,128.25,25.25
798,128.75,25.25
799,129.25,25.25
800,129.75,25.25
801,130.25,29.75
802,130.75,29.75
803,131.25,29.75
804,131.75,29.75
805,132.25,29.75
806,132.75,29.75
807,133.25,29.75
808,133.75,29.75
809,134.25,29.75
810,134.75,29.75
811,130.25,29.25
812,130.75,29.25
813,131.25,29.25
814,131.75,29.25
815,132.25,29.25
816,132.75,29.25
817,133.25,29.25
818,133.75,29.25
819,134.25,29.25
820,134.75,29.25
821,130.25,28.75
822,130.75,28.75
823,131.25,28.75
824,131.75,28.75
825,132.25,28.75
826,132.75,28.75
827,133.25,28.75
828,133.75,28.75
829,134.25,28.75
830,134.75,28.75
831,130.25,28.25
832,130.75,28.25
833,131.25,28.25
834,131.75,28.25
835,132.25,28.25
836,132.75,28.25
837,133.25,28.25
838,133.75,28.25
839,134.25,28.25
840,134.75,28.25
841,130.25,27.75
842,130.75,27.75
843,131.25,27.75
844,131.75,27.75
845,132.25,27.75
846,132.75,27.75
847,133.25,27.75
848,133.75,27.75
849,134.25,27.75
850,134.75,27.75
851,130.25,27.25
852,130.75,27.25
853,131.25,27.25
854,131.75,27.25
855,132.25,27.25
856,132.75,27.25
857,133.25,27.25
858,133.75,27.25
859,134.25,27.25
860,134.75,27.25
861,130.25,26.75
862,130.75,26.75
863,131.25,26.75
864,131.75,26.75
865,132.25,26.75
866,132.75,26.75
867,133.25,26.75
868,133.75,26.75
869,134.25,26.75
